"attribute","definition","url"
"Primary Key","A unique identifier based off the DC Real Property ID or the Portfolio Manager ID",
"DC Real Property ID","The Square-Suffix-Lot, Parcel, or Complex (Square-Suffix-Regime) number assigned by the DC Office of Tax and Revenue that uniquely identifies the property. The first four digits are the “square,” or the tax block. Leading zeros are added if needed. Some IDs have a “suffix,” which is N, S, E, or W for North, South, East, and West. Most IDs have no suffix. In non-condominiums, the second four digits are the tax lot. Condominiums have a Complex number, which consists of a square and suffix, and then a four-digit “regime” code that is assigned to a condominium association upon incorporation. Certain old, large lots have a “parcel number” instead, which is represented by PAR followed by an 8-digit number. In the disclosure, a “*” after the number indicates a reported ID that DOEE has not matched to a covered tax lot. Any spaces and dashes have no meaning."," "
"PM Property ID","ID number from Portfolio Manager"," "
"Property Name","Name of property as reported by owner in Portfolio Manager"," "
"PM Parent Property ID","ID number of parent property for a multi-property campus from Portfolio Manager. The energy use of a campus can only understood and analyzed as a whole. Any properties with a parent property ID should be analyzed with other properties with the same Parent Property ID. "," https://portfoliomanager.energystar.gov/pm/glossary#PropertyRelationships "
"Parent Property Name","Name of campus parent property from Portfolio Manager"," "
"Year Ending","Last Day of Reporting Year (e.g. 12/31/2014 means 2014 data)"," "
"Report Status","Notes on DOEE disclosure, indicating whether the property is in compliance, or the reason why energy benchmarking data for this property is not included in the disclosure for this calendar year. "," "
"Address of Record","Address as recorded by the DC Office of Tax and Revenue"," "
"Owner of Record","Owner as recorded by the DC Office of Tax and Revenue"," "
"Ward","Ward as recorded by the DC Office of Tax and Revenue"," "
"Reported Address","Address as reported by owner"," "
"City","Washington"," "
"State","DC"," "
"Postal Code","Zip Code as reported by owner"," "
"Year Built","The year property was constructed, as reported by owner"," "
"Primary Property Type - Self Selected","The Primary Use of the Property, as reported by owner. This is not necessarily consistent with the property type designation in DC Office of Tax and Revenue Records","http://www.energystar.gov/buildings/facility-owners-and-managers/existing-buildings/use-portfolio-manager/identify-your-property-type "
"Primary Property Type - Calculated","The Primary Use of the Property, as calculated by Portfolio Manager based on the owner's selections. For use types that do not receive an ENERGY STAR® Score, DOEE has simplified these types into broader categories for analysis.","http://www.energystar.gov/buildings/facility-owners-and-managers/existing-buildings/use-portfolio-manager/identify-your-property-type "
"Tax Record Floor Area","The Gross Floor Area as recorded by the DC Office of Tax and Revenue in square feet"," "
"Reported Building Gross Floor Area","The Gross Floor Area as reported by owner, in square feet. The Gross Floor Area is the total size, as measured between the principal exterior surfaces of the enclosing fixed walls of the building(s). This includes all areas inside the building(s) such as: occupied tenant areas, common areas, meeting areas, break rooms, restrooms, elevator shafts, mechanical equipment areas, and storage rooms.  It does not include the floor area of secondary spaces such as parking lots.","https://portfoliomanager.energystar.gov/pm/glossary#GrossFloorArea "
"ENERGY STAR Score","The 1-100 score calculated by ENERGY STAR Portfolio Manager® that measures how well the property is performing relative to similar properties, when normalized for climate and operational characteristics. The 1-100 scale is set so that 1 represents the worst performing buildings and 100 represents the best performing buildings. A score of 50 indicates that a building is performing at the national median, taking into account its size, location, and operating parameters. A score of 75 indicates that at a property is performing in the 75th percentile and may be eligible to earn ENERGY STAR Certification.","https://www.energystar.gov/buildings/facility-owners-and-managers/existing-buildings/use-portfolio-manager/understand-metrics/how-1-100"
"Site EUI (kBtu/ft²)","The Site Energy Use Intensity (EUI), as calculated by Portfolio Manager, at the property site. This equals the amount of energy consumed at the site in thousand British thermal units (kBtus) per gross square foot (kBtu/ft2) of the property. Site EUI values are the result of self-reported entries.","https://www.energystar.gov/buildings/facility-owners-and-managers/existing-buildings/use-portfolio-manager/understand-metrics/what-energy"
"Weather Normalized Site EUI (kBtu/ft²)","Weather normalized Site Energy Use Intensity is the Site EUI in kBtu/ft2 of the property, normalized for weather. Weather normalization facilitates the comparison between different parts of the country and corrects for year-to-year differences in weather. Weather normalized energy is the energy your building would have used under 30-year average conditions (also referred to as climate normals). The weather in a given year may be much hotter or colder than the normal climate; weather normalized energy accounts for this difference. Note that the adjustment is for weather only, but not climate. That is, the metric evaluates your building over time, but does not account for differences between your building and other locations that have different average (normal) climates. Weather Normalized Source EUI values are the result of self-reported entries. ","https://www.energystar.gov/buildings/tools-and-resources/portfolio-manager-technical-reference-climate-and-weather"
"Source EUI (kBtu/ft²)","Source Energy Use divided by property square footage, normalized for weather. Weather-normalization is based on National Oceanic and Atmospheric Administration (NOAA) weather data for the zip code. Source Energy Use is the total amount of raw fuel that is required to operate the property. In addition to what the property consumes on-site, source energy includes losses that take place during generation, transmission, and distribution of the energy, thereby enabling a complete assessment of energy consumption resulting from building operations. For this reason, Source EUI is the best way to quantify the energy performance of commercial buildings. More: ","https://www.energystar.gov/buildings/facility-owners-and-managers/existing-buildings/use-portfolio-manager/understand-metrics/difference"
